Degree,Institution,Graduation Year,Experience (Companies),Skills
MBA,"Bennett, Wilkinson and Franklin",2000,"Anderson, Randall and Brown; Gonzales, Martinez and Ross; Sosa Group; Mosley, Butler and Mata; Avila, Bass and Smith","Web Development, Mobile Development, Java, Data Analysis, Project Management, Python"
Diploma,"Underwood, Wood and Robinson",2020,"Reid, Miller and Dunn; Ferguson-Patterson; Shaw-Tran","Data Analysis, Cybersecurity, Cloud Computing, Java, SQL, Mobile Development, Machine Learning"
PhD,Marquez Ltd,2002,Martin Inc,"Cybersecurity, Project Management, Cloud Computing, Deep Learning, Mobile Development, Data Analysis"
M.Sc,"Jackson, Torres and Rogers",2010,"Graves, Parsons and Johnson; Garrison-Michael; Robbins, Hammond and Park; Gray PLC","SQL, Cybersecurity, Blockchain, Mobile Development, Web Development, Data Analysis, C++"
B.Sc,Hunter PLC,2020,"Smith-Wall; Phelps, Evans and Cannon","Project Management, Data Analysis, Cybersecurity, AI"
B.Sc,Gallagher LLC,2010,Powers-Tran; Ferrell PLC; Shea PLC,"Java, C++, AI, DevOps"
M.Tech,"Anderson, Bridges and Henry",2012,Edwards-Austin; Camacho Inc; Gray Ltd; King and Sons; Peterson and Sons,"Deep Learning, AI, Machine Learning, Mobile Development, C++"
M.Sc,"Shields, Johnson and Ryan",2006,Roberts-Morris,"Python, Machine Learning, Data Analysis, Cybersecurity"
B.Sc,Morris Ltd,2004,Mullins LLC; Gonzalez-Pineda; Miller-Peterson,"Project Management, C++, Python, Blockchain"
M.Sc,Harrington-Hale,2010,"Thomas, Mckinney and Green; Johnston Inc; Foley-Cruz; Montgomery, Parker and Sutton","Blockchain, Data Analysis, Cybersecurity, Mobile Development, SQL"
M.Tech,Bates LLC,2023,"Williams, Johnson and Hopkins; Gibbs PLC; Willis, Stokes and Love; Vazquez Group; Hill, Gilmore and Nelson","Python, Mobile Development, DevOps, Project Management, Cybersecurity, Cloud Computing, SQL"
M.Sc,"Anderson, Webster and Smith",2006,"Jackson-Johnson; Hayes Group; Mason Ltd; Fleming, Hodges and Ortiz; King-Clark","Blockchain, SQL, Mobile Development, Java, AI, Project Management"
PhD,"Cohen, Taylor and Barrett",2015,Medina-Tyler,"Cybersecurity, AI, Project Management, Machine Learning, Web Development"
Diploma,"Alvarez, Rodgers and Baldwin",2022,Nguyen-Benton,"Java, Project Management, C++, Cloud Computing, Blockchain"
PhD,Jones Inc,2002,"Jennings, White and Howard; Bradley and Sons","Python, Blockchain, Cloud Computing, AI"
M.Sc,Middleton LLC,2010,Crawford-Ellis; Graham-Bell; Clark Group; Anthony LLC; Valentine-Morrison,"Cloud Computing, Blockchain, AI, Web Development, Python, SQL"
PhD,Swanson Inc,2000,Dean LLC,"Deep Learning, Web Development, Java, C++, DevOps, Cybersecurity"
B.Tech,Mckee LLC,2019,Perez-Brown,"SQL, Deep Learning, Java, Python, DevOps, Blockchain, Machine Learning"
M.Sc,"Roberts, Brown and Reeves",2022,"Castaneda PLC; Luna, Gray and Marshall; Robertson Ltd","C++, Java, Machine Learning, Web Development, Mobile Development, Data Analysis"
Diploma,Moore LLC,2002,"Taylor PLC; Rios, George and Soto","Blockchain, Cybersecurity, SQL, Mobile Development, C++"
M.Tech,Garrett-Cruz,2006,"Kidd LLC; Cruz, Thomas and Fowler; Cross, Coffey and Nguyen; Day, Joyce and Adams","SQL, Deep Learning, AI, C++"
M.Sc,Goodman and Sons,2000,Rose-Watson; Fuentes-Rich; Cole LLC; Morrow Ltd; Coffey-Davis,"Python, Data Analysis, Machine Learning, Blockchain, Cloud Computing, Java"
MBA,Hutchinson Group,2007,Ford-Miller; Christian and Sons; Morris-Sanchez; Douglas-Smith,"DevOps, Mobile Development, Cloud Computing, Blockchain, Web Development, Python, Deep Learning"
Diploma,Gray Group,2017,"Rivers LLC; Poole, Flynn and Garcia; Richardson PLC; Walsh-Bender","C++, Deep Learning, Cloud Computing, DevOps, Project Management, SQL"
PhD,"Mathis, Drake and Anderson",2007,Moreno Ltd,"Blockchain, Java, DevOps, Cloud Computing, Cybersecurity, Project Management"
B.Tech,Andrade Group,2009,"Wood, Schneider and Todd; Collins, Estrada and Cook; Bush-Watson; Russell-Parrish; Rodgers, Johnson and James","Cybersecurity, Mobile Development, Machine Learning, SQL, Blockchain, Web Development, Deep Learning"
PhD,Webster-Davidson,2024,"Nguyen, Bates and Gilbert; Wheeler-Price; Thompson Group; Phillips-Howell","Cybersecurity, C++, AI, Java, Project Management, Machine Learning, DevOps"
M.Tech,Bradley Inc,2003,"Nguyen-Contreras; Cannon-Leblanc; Phillips, Smith and Pollard; Williams, Best and Taylor","Java, Blockchain, C++, DevOps, Machine Learning, Mobile Development"
PhD,"Webster, Hansen and Mann",2006,"Grant Inc; Morgan Ltd; Cook, Smith and Simpson; Thompson-Sims","Mobile Development, Blockchain, DevOps, Data Analysis"
B.Tech,Hamilton and Sons,2020,Gibbs-Owen,"AI, Machine Learning, Mobile Development, Cybersecurity, Web Development"
PhD,Nichols-Byrd,2013,Garrison Ltd; Sanders-Jenkins; Ortiz and Sons,"Cybersecurity, Python, Deep Learning, Data Analysis, Java, Web Development"
M.Tech,"Harris, Perry and Lewis",2020,"Weaver, Freeman and Martin","DevOps, Data Analysis, Project Management, Cloud Computing, AI, Mobile Development"
MBA,Warren-Reyes,2002,"Brown, Donovan and Simon; Brown Ltd; Wilson, Davis and Morrow; Hernandez, Barr and Morris; Esparza-Moon","Machine Learning, Cloud Computing, Blockchain, AI, Deep Learning"
MBA,Garcia Ltd,2010,"Sanders PLC; Anderson-Bates; Moore-Morris; Schwartz-Garcia; Palmer, Brandt and Chavez","Data Analysis, Deep Learning, Python, Cybersecurity, Blockchain, Project Management"
B.Tech,Ward-Young,2016,"Jensen PLC; Morgan Inc; Grimes LLC; Bowers, Davis and Johnson; Brandt-Castaneda","Cloud Computing, SQL, AI, Project Management, Mobile Development, Machine Learning, Java"
PhD,Davis and Sons,2021,"Mccarthy, Wilson and Potter","AI, Project Management, Cybersecurity, Data Analysis, C++, Cloud Computing"
M.Sc,Hayes-Nelson,2010,Hart-Wilson,"SQL, Mobile Development, Project Management, Web Development, Blockchain, Cybersecurity"
Diploma,Johnson-Stanley,2008,"Stevens Group; Mccarthy, Peters and Garrison; Krause and Sons; Lee, Thornton and Young","C++, Mobile Development, Data Analysis, DevOps, Machine Learning, Web Development, Java"
M.Tech,Rosario Inc,2013,"Knight-Golden; Tapia-Salinas; Green, Scott and Bullock; Thompson-Davis","Deep Learning, Project Management, Python, C++, Data Analysis, Web Development, Mobile Development"
B.Sc,Melendez and Sons,2014,Parker Inc; Werner and Sons; Price and Sons,"Blockchain, Machine Learning, Java, Cloud Computing, Cybersecurity, C++"
B.Tech,Brown-Ramirez,2021,Greene Ltd; Walton Ltd; Mejia and Sons; Hodge-Moore,"Cybersecurity, C++, Deep Learning, Java"
M.Tech,Alvarez and Sons,2009,Leonard Ltd; Armstrong LLC,"AI, Data Analysis, DevOps, Cybersecurity, Python"
B.Sc,"Davis, Christensen and Thomas",2013,Jones PLC; Garcia-Knapp,"Cybersecurity, Mobile Development, Machine Learning, Python, C++"
PhD,"Contreras, Garcia and Hayes",2006,"Villa Group; Thompson, Vaughn and York; Reynolds, Green and Barnes; Perkins, Thomas and Sanchez; Fisher, Mathis and Cohen","Blockchain, Python, Data Analysis, Deep Learning, AI, Cybersecurity, Machine Learning"
M.Sc,"Walker, Hendrix and Burton",2022,Campbell-Evans; Woods-Espinoza; Strong Inc,"AI, Data Analysis, Python, Mobile Development, Project Management"
PhD,Dennis-Rosario,2008,Chavez-Oliver,"Web Development, Mobile Development, Java, Data Analysis, DevOps, Cybersecurity"
B.Tech,Bradley-Wheeler,2000,"Cook, Cunningham and Mcclain; Travis LLC; Kelly-Murphy","Java, Deep Learning, Blockchain, Mobile Development, Machine Learning, Cybersecurity"
B.Sc,"Abbott, Garcia and Gaines",2016,"Foley-Bennett; Hughes, Thomas and Taylor; Rodriguez PLC; Jackson Ltd","Blockchain, DevOps, Java, Deep Learning, C++, Project Management"
PhD,Carter Inc,2023,"Stevens Ltd; Delacruz LLC; Brock, Patel and Ray; Hardy-Harrison","C++, Web Development, Mobile Development, Deep Learning, Data Analysis, Python"
Diploma,"Scott, Wilson and Lee",2002,Walsh-Wade; Jackson Group,"Data Analysis, Machine Learning, Cloud Computing, AI, Deep Learning, Cybersecurity"
M.Sc,"Johnson, Miller and Smith",2003,Miller PLC; Wagner LLC; Bennett-Hill; Brown-Berger; Frazier Inc,"Machine Learning, DevOps, Blockchain, Java"
B.Tech,Johnson Ltd,2024,"Webster-Strickland; Steele, Mclaughlin and Rogers; Hunt Ltd; Brown-Miller","SQL, Python, Blockchain, Deep Learning, Mobile Development"
MBA,Dawson Group,2022,"Tucker-Diaz; Greene-Rodgers; Williams, Walton and Morris; Carroll-Harris; Garcia-Vance","Cybersecurity, Python, Machine Learning, Mobile Development, C++, Blockchain"
M.Tech,"Brown, Greer and Graves",2000,Hale LLC,"AI, Project Management, C++, Blockchain, Machine Learning, Cloud Computing"
PhD,"Gutierrez, Hall and Maynard",2015,Whitehead Ltd; Austin-Grant; Williams Ltd; Martin Group; Lang-Lewis,"SQL, C++, Machine Learning, Blockchain, AI, Python, Project Management"
PhD,Hoffman Group,2019,"Ward, Rivera and Rodriguez","Machine Learning, SQL, Java, Mobile Development, Blockchain, Web Development"
B.Tech,Simmons PLC,2008,Little PLC,"Java, Cybersecurity, Data Analysis, Machine Learning, Web Development"
M.Tech,Grant LLC,2008,"Davis-White; Reed-Mooney; Frederick, Young and Johnson; Smith, Roth and Martinez","Cloud Computing, Blockchain, SQL, Cybersecurity, DevOps, C++"
M.Tech,Perry PLC,2008,"Carter, Brown and Oliver","Blockchain, Cybersecurity, Cloud Computing, Java, C++, Mobile Development"
M.Sc,Stone-Alvarez,2012,"Luna, Owens and Robinson; Cardenas-Park; Perry-Price; Perkins, Johnson and Kelly","Data Analysis, SQL, Blockchain, Web Development, Cloud Computing, DevOps, Mobile Development"
B.Sc,Weiss-Costa,2019,Lopez-Olson,"Machine Learning, Data Analysis, Web Development, C++"
MBA,Butler Ltd,2000,"Parker, Edwards and Hudson; Gomez Ltd","Cybersecurity, Java, DevOps, Web Development, Project Management, AI"
MBA,"Cox, Hancock and Fisher",2007,Patel-Peters; Lynch Group; Davila and Sons,"Web Development, Data Analysis, Machine Learning, Project Management"
MBA,"Silva, Austin and Hill",2005,"Hull-Harper; Ruiz Group; Martinez, Howe and Mclaughlin","C++, Mobile Development, Deep Learning, Cybersecurity, Cloud Computing, AI"
Diploma,"Anderson, Pearson and Calhoun",2011,"Roman, Hubbard and Morales; Peters LLC; Allen, Blackwell and Wilkerson","DevOps, Machine Learning, Cybersecurity, Mobile Development, Cloud Computing"
MBA,Rose-Carpenter,2011,"Willis LLC; Bender Group; Moreno-Henson; Richardson, Long and Shepherd; Martinez-Mathis","Cloud Computing, Web Development, Project Management, Cybersecurity, Mobile Development, Data Analysis, Java"
MBA,"Vega, Ballard and Spence",2003,Smith-Valdez; Snyder PLC,"Project Management, C++, DevOps, Data Analysis, Machine Learning, Blockchain, SQL"
M.Sc,Burke LLC,2009,Conley Inc; Faulkner-Payne; Washington-Neal,"Mobile Development, Cybersecurity, C++, Python, Machine Learning, Web Development, Deep Learning"
M.Tech,Navarro-Hays,2004,"Lowe, Bryant and Smith; Hogan-Cruz","SQL, Java, Mobile Development, Cloud Computing, Python"
PhD,Sanchez-Nelson,2014,"Wang-Thomas; Flowers LLC; Tucker PLC; Acevedo-Morales; Perez, Adams and Bryant","Project Management, Python, Blockchain, Java, AI, C++, Machine Learning"
B.Tech,"Kelley, Goodwin and Brown",2000,Nelson PLC,"Java, AI, C++, SQL, Machine Learning"
B.Sc,Baker-Thompson,2015,Arnold and Sons; Jones-Perez; Watson and Sons,"Python, Web Development, Cybersecurity, Blockchain"
M.Tech,Short-Williams,2000,"Martinez PLC; Alexander, Watson and Foley; Bennett-Watson; Clay-Chambers; Fisher, Mullins and Jimenez","Cybersecurity, Machine Learning, SQL, Python, Project Management"
M.Sc,Smith Ltd,2006,"Johnson, Arellano and Thomas","Data Analysis, DevOps, Project Management, Machine Learning, SQL, Mobile Development, Blockchain"
Diploma,Stanley-Buchanan,2004,Frank-Knight; White-Mayer,"Python, Machine Learning, Java, Mobile Development"
Diploma,"Bonilla, Adams and Davis",2015,Manning LLC; Williams Inc; Carter Ltd,"Project Management, Data Analysis, Cloud Computing, Blockchain, Cybersecurity, Python, SQL"
PhD,Morgan-Shelton,2011,Goodwin-Norton; Lambert-Smith,"Java, C++, Machine Learning, Deep Learning"
B.Sc,Young Ltd,2003,"Dickerson, Mcneil and Riley; Carter, Cuevas and Harris; Rose, Garcia and Freeman; Wilson Group","Cybersecurity, Mobile Development, Machine Learning, SQL, Web Development"
Diploma,Cooper-Dickerson,2023,"Horne, Wells and Richmond","Python, Data Analysis, Mobile Development, C++, Java, Cybersecurity"
M.Sc,"Robinson, Ross and Harrison",2023,"Ward, Hicks and Simmons; Byrd, Adams and Medina; Carpenter-Watson","Machine Learning, SQL, Data Analysis, DevOps"
Diploma,Jones Group,2000,"Mckay, Blevins and Sullivan; Bridges, Romero and Williams; Mathis PLC","Project Management, Cybersecurity, Java, AI"
M.Sc,Ryan-Thompson,2024,Turner Inc; Stanley-Jenkins; Johnson-Hayes,"Data Analysis, Web Development, Blockchain, AI"
